Crop,Question,Answer
cassava,how can I specify the eating cassava,Cassava is eaten either as boiled roots or flour
cassava,how can I spray cassava,Use knapsack sprayer
cassava,how can I stop cassava leaves from folding?,Plant uninfected plant material without cassava mosaic virus
cassava,how can I stop cassava roots from folding?,Plant materials free from cassava brown streak disease
maize,how can I stop caterpillars from eating the maize leaves?,Timely spraying of pesticides
maize,how can I stop caterpillars from eating the maize seed?,Spray with chemicals
beans,how can I stop weevils from getting into the seeds?,"By application of seed dressing, by keeping seeds in silos, by application of storage pesticides"
beans,how can I store bean seeds for planting the next season?,Dry them well and keep them in silos or you can also do seed dressing
beans,how can I store beans after harvesting?,"Dry them well and keep them in silos, alternatively, carryout seed dressing"
maize,how can I store maize,Use cemented flour in a moisture free shelter
maize,how can I store maize properly after harvesting?,Dry them well and keep them in silos or carryout seed dressing
maize,how can I store maize to avoid weevils?,Store maize in silos and you can also do seed dressing to prevent breeeding of pests
beans,how can I store my beans,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
cassava,how can I store my cassava,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
maize,how can I store my maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
maize,how can I target the best time to harvest and sell maize?,Harvest maize then store it until the prices rise and sell
cassava,how can I tell that a cassava plant is infected?,By checking for yellowing in the leaf veins for CBSV and folding of leaves for CMV
maize,how can I test seeds for germination locally?,Carry out a seed germination test
general,how can I times should I plough any garden for growing,Two times are enough to ensure a smooth and well prepared garden
maize,how can I treat maize for storing after harvesting?,You can mix the seeds with a storage chemical to prevent pests
cassava,how can I uproot cassava,Using a hoe
maize,how can I use maize spacing,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm."
beans,how can I use my eyes to see that a seed is good for planting before buying?,By checking if the beans are not having holes on them. Also by checking that the beans have no fungal growth on them.
cassava,how can Mosaic disease effect cassava root,It reduces the size of the roots
cassava,how can a farmer detect that his cassava has cassava mosaic,leaf rust/ yellowing
cassava,how can a farmer know that his cassava has brown streak,yellowing of leaves on the plant and browning of stems that have streaks on them
cassava,how can a farmer mantain cassava plants healthy?,Good crop management practices
general,how can a farmer prepare his garden for the season,"Use tractor and hoes to remove trees, stamps and volunteer plants"
beans,how can beans diseases be controlled,Use resistant varieties and increase on water availability for crop vigor
beans,how can beans retardation be controlled,Use specific means such as application of fertilization
cassava,how can cassava bacteria blight spread,Infected planting material and poor agric practices
cassava,how can cassava mosaic can be controled,Planting clean material
cassava,how can cassava mosaic diseases be avoided,Use clean planting material
cassava,how can cassava mosaic diseases spread,Through whiteflies or use of infected material
cassava,how can control cassava bacterial blight,"Through pruning of infected plant tissue, weed removal, use balanced amounts of plant nutrients, allow fallow fields to dry in order to suppress disease"
